foerster,wolf,text
F0139,W139,"
Ἀχιλλίῳ. (359/60)
1. Ἀλλ’ εἰ τὴν μίαν ἐπιστολὴν φάσκεις πολλάς, οὐ ταύτην
γε ἔλαβον μόνην, χρηστὸς δὲ εἶ ψευδόμενος· ὁμολογεῖς γὰρ ὃ
πεποιηκέναι χρῆν. 2. ἡμεῖς δὲ νῦν μᾶλλον ἐπιμελούμεθα τοῦ
παιδίου νομίζοντες δεῖν καὶ τὸ σὸν εἰσφέρειν αὐτῷ. καὶ ἔστι
τῆς συμμορίας ὁ κράτιστος, ἴσως μὲν καὶ διὸ τὴν φύσιν· οὐ
μικρὸν δὲ καὶ ὁ παιδαγωγὸς ἀπειλῶν, παρακαλῶν, ἐπεγείρων,
συνδιαταλαιπωρῶν, ἀνὴρ ἐλάττω τάξιν τῆς προσηκούσης σὴν
χάριν ὑπομένων. 3. ἃ δὲ ὑπὲρ Ἀλβανίου μηνύεις, καὶ ἥδιστά
μοι καὶ οὐ κατ’ ἐλπίδας· ὡς ἔγωγ’ ἐφοβούμην μὴ σιγᾶν ἕληται, θαρρεῖν δὲ εἶχον λέγειν ἐθέλοντος.
"
F0140,W140,"
Ἀλβανίῳ. (359/60)
 1. Νῦν ὄντως μοι τοὺς μισθοὺς ἀπέδωκας, οὐ χρυσίον
καὶ ἀργύριον, ταῦτα δὴ τὰ παρὰ τῶν πολλῶν τε φερόμενα καὶ
τέρποντα τοὺς πολλούς, ἀλλ’ οὗ χάριν καὶ τῶν πατρῴων ἀπέστην. τοῦτο δέ ἐστι δόξα. 2. ταύτην μοι δέδωκας δείξας, ὡς
οὐ παλαιστὴς ἄρα ἐγὼ μόνον, ἀλλὰ καὶ γυμναστὴς ἀγαθός.
 οἶσθα γάρ, ὡς οἱ τὴν ῥώμην οὐ τολμῶντες ψέγειν ἐκεῖνο πειρῶνται δάκνειν, ἀλλὰ σύ γε αὐτοὺς ἀφώνους ἐκάθισας τῇ
σαυτοῦ φωνῇ. 3. γιγνέσθω δὴ πυκνὸς ὁ δρόμος καὶ βίου μὲν
ὁδὸν ἣν οἴει σοι συμφέρειν αἱροῦ, πανταχοῦ δὲ οἴου σαυτῷ
καὶ τὸ λέγειν προσήκειν. οὐδεὶς γὰρ βίος ὑπὸ ῥητορικῆς αἰ σχύνεται. καὶ ταῦτα ἡγοῦ δεῖσθαί σου καὶ τὸν πατέρα καὶ
μηδὲ τῆς ἡδονῆς ἄμοιρον εἶναι καὶ ταῦτα ὄντα ὑπὸ γῆς.
4. ὁ δὲ ἄρχων ἡμῖν ἐν Ἑρμοῦ τέθραπται καὶ τοῖς ἀγορεύουσιν ἀναμιμυ σκεται τὰ αὐτοῦ καὶ ταύτης μόνης ὁμολογεῖ τῆς
ἡδονῆς ἡττᾶσθαι. νοῦν δὴ ἔχοντος ἂν εἴη χρῆσθαι παρόντι
 καιρῷ.
"
F0141,W141,"
Μαρκελλίνῳ. (359/60)
1. Καλός γε ὁ κλῆρος καὶ διαδέχομαι καὶ τοῦτον οὔτε λόγων ἀφαιρήσεταί με δεινότης οὔτε μίμησις γραμμάτων. σὺ δ’
οὐχ ἥττω μοι χαρίζῃ τοῦ θείου μεμνημένος ἢ φιλεῖν ἐμὲ προαἱρούμενος, ἐπεὶ καὶ τοῦτο παρ’ ἐκείνου μοι τὸ σπέρμα τοῦ
δι’ ὧν προσέκειτο καὶ τοὺς ἄλλους ἀναπείθοντος φιλεῖν. 2, χάριν δὲ ἐγὼ μὲν ἥντινα ἔδωκά σοι λογιζόμενος οὐχ εὗρον, σὺ
δὲ ἐμοὶ δίδως τῷ φάσκειν ἔχειν, δώσεις δὲ καὶ ἄλλας. ἐγὼ δέ
σοι συνεύξομαι, τοῦτο γὰρ ἡ ἐμὴ δύναμις. 3. τὰ ξένια δὲ
πῶς οὐκ ἔμελλεν ἡδονὴν οἴσειν ἀνδρός τε ὄντα χρηστοῦ καὶ
βεβαίου φίλου;
"
F0142,W141,"
Πρισκιανᾷ. (359/60)
1. Ἥρου με, εἰ σε προσδοκῶ περιέσεσθαι τῶν πραγμάτων.
προσδοκῶ. δεύτερον ἐπόθεις μαθεῖν, εἴ σοι δόξαν ἀπὸ τῶν
παρόντων εἰκάζω χρηστὴν ἔσεσθαι παρὰ τοῖς δυνατοῖς. εἰσὶν
ἐλπίδες· ἅ τε γὰρ ποιεῖς, οὐ σιγᾶται τῇ τε ἀκοῇ τὸ θαυμάζειν ἕπεται. 2. νῦν γέ τοι τοιοῦτος ἥκει λόγος, ἐφ’ ᾧ τίς οὐκ
ἀνέκραγε; λέγεταί τις ἄνθρωπος ἐν τοῖς ὑπηρέταις εἶναι νῦν
πρῶτον κεκρατημένος, τὸν παρελθόντα δὲ ἄρα χρόνον ἅπαντα
πάντων ἐκράτει. 3. πολλὰ τοιαῦτα σὺ μὲν ἐργάσῃ, κομιεῖ δὲ
πανταχῆ τὸ στόμα τῆς Φήμης. καὶ βασιλεῖ μὲν ἐντεῦθεν, ὡς
εἰκός, ἡδονή, σοὶ δὲ ἀμοιβαί.
"
F0143,W143,"
 Τῷ αὐτῷ. (359/60)
1. Πείθομαι μὴ πολλὰ εἷναί σοι τὰ πράγματα, οὐ γὰρ ἂν
πολλῆς ἀπήλαυες εἰς τὸ ἐπιστέλλειν σχολῆς· ὡς τό γε κάλλος
τῆς ἐπιστολῆς οὐκ ἄρχοντος ἐπιόντος πόλεις, ἀλλ’ ἀνδρὸς ἐργαζομένου λόγους. 2. εἰ δὲ ψεῦδος μὲν ἐκεῖνο καὶ πολλὰ τὰ
 πράγματα, σὺ δὲ ἀρκεῖς ἀμφοτέροις. τῶν Μουσῶν τις ἔοικέ
σοι συνοικεῖν μετὰ τῆς Δίκης γαῖ συλλαμβάνειν πῆ μὲν ἐκείνην, πῆ δὲ ταύτην. 3. ζητῶν δὲ ἢ τὸν Ἀβάριδος ὀιστὸν ἢ τὴν
Ὀρφέως κιθάραν μήτε τὴν κιθάραν ζήτει, τῇ γλώττῃ γὰρ τὰ
ταύτης ἰσχύεις, μήτε τὸν ὀιστόν, ἐπειδήπερ ἔχεις τὴν κιθάραν.
 4. ἡ πενία κοινὸν νῦν ἀνθρώποις, ὥστε οὐ πρὸς εὐπόρους
ὑπὲρ ἀπόρων ἐπιστέλλεις, ἀλλ’ εἰ καὶ ἡμῶν ἦρχες, ταῦτ’ ἂν
ὠδύρου·
ἀπόλοιο δῆτ’. ὦ πόλεμε, πολλῶν οὕνεκα,
ὃς τοὺς Καλλίας ὀξέως Ἴρους ποιεῖς.
"
F0144,W144,"
Τῷ αὐτῷ. (359/60)
1. Τῶν Ἑστιαίου παίδων μέλει μοι καὶ διὰ τοὺς θείους
αὐτῶν, οἳ συνεφοίτησάν μοι, καὶ διὰ τὸν πάππον, ὃς ἔνα με
ἡγεῖτο τῶν υἱέων. Ἑστιαῖος δὲ ἐμοὶ μὲν συνήθης οὐκ ἦν,
ἐπαινεῖται δέ. τὸ δὲ μέγιστον, τῶν ἐμῶν οἱ νεανίσκοι φοιτητῶν μετὰ τῶν λόγων μελετήσαντες αἰδεῖσθαι. 2. δι’ ὅσων δὲ
κυμάτων ἡ μήτηρ αὐτοῖς ἐλθοῦσα μόλις ἀνέπνευσεν, οἶσθα
καὶ ὅτι τοῦ κινδύνου μὲν ἀπηλλάγη, μείζω δὲ πεποίηκε τὴν
οὖσαν καὶ πρὶν πενίαν. 3. ἔστι δέ τις ἄνθρωπος ἐν Κύρῳ
Μάρης, μᾶλλον πένης ἢ γέρων, ἔστι δὲ καὶ μάλα γέρων. ὃν
μὴ παντάπασιν ἐκτριβῆναι δέονται μὲν οὗτοι, βούλομαι δὲ
ἐγώ, κύριος δὲ σύ. σχῆμα δὲ τῇ βοηθείᾳ δώσει βασιλέως παλαιὰ γράμματα γράμμασι Θεοφίλου βεβαιούμενα.
"
F0145,W145,"
Τῷ αὐτῷ. (359/60)
1. Ἡμετέρῳ μαθητῇ Μακαρίῳ Μακάριός ἐστιν ὁ πατὴρ,
εἷς δὲ οὑτοσὶ τῆς ἀμφὶ σὲ φάλαγγος. τούτῳ τῶν ἀρχόντων
 ἕκαστος ἔδωκε δῶρον, τὸ δὲ δῶρον χρόνος παρέχων αὐτῷ τὸν
υἱὸν ἰδεῖν, υἱὸν τῇ Μνημοσύνῃ φίλον. 2. δὸς δὴ τὸ δῶρον
ἐπὶ πολλοῖς, ὃ καὶ πρῶτος ἔδωκας ἄν.
"
F0146,W146,"
Τῷ αὐτῷ. (359/60)
 1. Καὶ Χρύσης προνοίας ἄξιος τρόπων τε ἕνεκα καὶ συγγενῶν. ὅ τε γὰρ τρόπος ἡσύχιος οἴ τε ἀνεψιοὶ φίλοι τε ἐμοὶ
καὶ σοὶ κἀν τῇ πόλει τὰ πρῶτα. Λητόϊον Λητόΐον λέγω τὸν
τὸν ἄξιον ἀκοῦσαι ταὐτὸ Κυνήγιον, οὓς αἰσχύνει Χρύσης, εἴ
τι παρὰ τὴν ἀξίαν ὑπομένει καὶ ταῦτα σοῦ τὴν ἀρχὴν ἔχον τος. 2. ἐν οὖν οὖν ὑβρίζεται μαθὼν στῆσον τὴν ὕβριν.
"
F0147,W147,"
Ἐκδικίῳ. (359/60)
1. Ἀλλ᾿ οὑτοσὶ Φιλόξενος [λαμπρὸς] καὶ μεγέθει καὶ
κοὶ φωνῇ καὶ τῷ αἰδεῖσθαι καὶ τῷ λόγους ζητεῖν [τε] καὶ
λαμβάνειν εἰδέναι. 2. σὺ δὲ πείθων τοὺς νέους παρ’ ἡμᾶς
τρέχειν ὅμοιον ποιεῖς ὥσπερ ἂν εἰ παρῄνεις αὐτοῖς παρὰ σὲ
τρέχειν. οἶσθα γάρ, ὡς, ἂν ἐγὼ φαίνωμαι λαμπρός, καὶ
σὸν ἐν δόξῃ, κἂν ἐγὼ δόξω μὴ κακὸς εἶναι παιδεύειν, καὶ σοὶ
ταῦτα ἂν ὀνήσαι παιδεύειν ἑλομένῳ. οὐ γὰρ ἀγνοοῦσιν οἱ ἄν- ex ὁ corr m4 | ἠρόμην scripsi ex Α ἠρώτων
θρωποι τὰ Ἀθήνησιν ἡμῖν κοινά. 3. τὸ μὲν οὖν ἔργῳ τὰ
ἡμέτερα ᾑρῆσθαι θαυμαστὸν οὐδέν, σοὶ γὰρ ὁ βίος ἐκ νέου
τὰ φίλων αὔξειν, τὸ δ’ ὁμολογεῖν ἐν γράμμασιν, ὃ ποιεῖς, τοῦτο δὲ οὐ κατὰ τὴν σὴν δειλίαν, ἀλλὰ γὰρ ἔργον τοῦτο τοῦ
ἔρωτος, ὃς καὶ τοὺς δειλοὺς θρασυτέρους ποιεῖ.
"
F0148,W148,"
Ἀκακίῳ. (359/60)
1. Οὐχ ὁ Φιλόξενος μόνον ἐπανήκων ἀμείνων ἐξώρμησε
τὸν ἀδελφόν, ἀλλὰ καὶ τοῦ Φιλοξένου τις ἀνεψιός, οἶσθα γὰρ
ὃν ἐγὼ λέγω καὶ λέγειν οὐκ ἐθέλεις εἰδώς. 2. ἢ τούτου γε
ἕνεκα τοῦ δευτέρου παρὰ σὲ χρῆν καὶ τὸν Φιλόξενον καὶ τὸν
ἀδελφὸν τὸν ἐκείνου φοιτᾶν, ὡς οὐδέν γε παρ’ ἡμῖν οὔτε
τοσοῦτον οὔτε τοιοῦτον ὁποῖον τε καὶ ὁπόσον παρὰ σοί; καίτοι Τιτιανὸς τῇδε τοῖς λόγοις προστίθησιν, ἀλλ’ ἐγὼ τὸν οἶκοι
θησαυρὸν αὐτοῦ κάλλιον ὁρῶ. 3. τῇ μέντοι μητρὶ τοῖν νεανίσκοιν ἐκείνοιν λέγειν, ὃς ἔστι καὶ παρ’ ἡμὶν θέρος καὶ πνεῖ
τότε μέτριος ἄνεμος.
"
F0149,W149,"
 Πρισκιανῷ. (359/60)
1. Οἴκοθεν οἴκαδε Μικκαλος παρ’ Ὀλυμπίου πρὸς σὲ
καὶ οὐ παρ’ ἀδελφοῦ μᾶλλον ἢ παρ’ ἀδελφόν, ὅθεν μοι δοκεῖ
τοῦ τε ἐν Παίοσιν ὑπεριδεῖν πλούτου καὶ τῆς ἐν ἀδικίᾳ τρυφῆς
νομίζων τὸ σοὶ συνεῖναι καὶ τῶν χρημάτων αὐτῷ τῶν ἀπὸ τῆς
 θαλάττης ἥδιον ἔσεσθαι. 2. τοῦτον μὲν οὖν τοῦτ’ ἔπεισε προκρῖναι τὴν σὴν ἀρχήν, σὺ δ’ αὐτῷ καὶ χρημάτων εὕρισκες πόρους. σοὶ μὶν γὰρ κεναῖς, τούτῳ δὲ μεσταῖς ἐπανελθεῖν προσήκει χερσίν. 3. ἃ δὲ περὶ τῆς πενίας ἔγραψας μείζω τὴν ἐκεῖ
τῆς τῇδε πειρώμενος δεικνύναι, ῥητορεύοντος, οὐκ ἀληθεύον τος ἦν. οἴ γέ τοι παρ’ ἡμῖν προσαιτοῦντες πόλεως μέτριον, οἱ
δ’ ἐγγυτέρω τῶν δεινῶν εἰ τούτῳ πλουτοῦσιν, Οῖδίπου τινὸς
χρῄζομεν.
"
F0150,W150,"
Ἄνδρονίκῳ. (358—361)
1. Μέτρον ἄριστον ἔφη τις καὶ ὁ λόγος ἀνάθημα γίγνετᾶι τῷ Πυθίῳ. σὺ δ’ ὅτι μὲν τῇ τε ἄλλῃ καὶ τῷ πλήθει τῶν
βουλευτῶν μείζους τὰς πόλεις ποιεῖς, καλῶς ποιεῖς· ὅστις δὲ
εἰς μείζω βουλὴν καλεῖται καἰ γέγονεν ἀντὶ Φοίνικος ἄλλο τι
σεμνότερον, μήτοι τοῦτον ἀποστέρει τῆς τύχης μηδ’ οὕτω φίλει τοὺς ἀρχομένους ὥστε τὴν σαυτοῦ μισεῖν. 2. ἴστω δὴ καὶ
Φρατἐρνῳ τῶν ἐν Φοινίκῃ λειτουργιῶν ἄφεσις, ὃν αὐτίκα δεήσει δαπανᾶν ἐν τῇ Μεγάλῃ πόλει. τὸν δὲ ἄνδρα τοῦτον εἶδον
μὲν οὔπω, φίλον δὲ ἡγοῦμαι φίλῳ τε ἐμῷ καὶ μαθητῇ μέλλοντα κηδεύσειν Ἀπριγγίῳ, ὃς ἐμὲ μὲν ἐν τῷ χρόνῳ τῶν μαθήσεων ἐπιεικείᾳ τε καὶ λόγων ἐξέπληξεν ἐπιθυμίᾳ, τὴν δὲ ἡμετέραν πόλιν τῷ περὶ τὴν χορηγίαν λαμπρῷ. 3. τούτῳ τῷ
νεανίσκῳ μὴ βοηθῶν μὲν ἐγὼ πάνυ ἂν ἀδικοίην, προδώσω
δὲ αὐτόν, εἰ μηδενὸς ἄξιος Φρατέρνῳ φανεῖται. φανεῖται δὲ
φαῦλος, εἰ σοῦ μὲν ἔχοντος τὴν ἀρχήν, ἐμοῦ δέ σε πείθειν
ἔχοντος ὁ μέλλων αὐτῷ τὴν θυγατέρα δώσειν ἀδικήσεται. δόξει γὰρ Ἀπρίγγιος ὑπ’ ἐμοῦ καταφρονεῖσθαι· σὲ γὰρ οὐκ ἄν
ποτε μὴ δοῦναι χάριν ἐμοί. 4. ἀλλὰ δός, ἑταίρων φίλτατε,
χαίρεις γὰρ ἀκούων τοῦτο μᾶλλον ἢ τὸ τῆς ἀρχῆς ὄνομα, καὶ
 μιᾷ πράξει τό τε δίκαιον τίμησον καὶ τῇ σαυτοῦ βοήθησον
καὶ τοῦτον μὴ ἀτιμάσῃς.
"
F0151,W151,"
Τῷ αὐτῷ. (358—361)
1. Οἴμαι μέν σε καὶ τῶν δικαίων ἀκούσαντα ψηφιεῖσθαι
 τοῖς φέρουσι τὴν ἐπιστολὴν ἀπαλλαγήν, ἐμοί τε γὰρ ἔδοξεν
εἶναι μεγάλα σοί τε οὐ φανεῖται μικρά, δοκοῦσι δέ μοι κἂν
εἰ μηδὲν αὐτοῖς τῶν νῦν ὄντων ὑπῆρχεν εἰς τὴν δίκην, ἓν δὲ
τοῦτο τὸ βοηθεῖν αὐτοῖς, οὓς οἴει δεῖν αἰδεῖσθαι, πάντως ἂν
ἐκφυγεῖν. 2. τῶνδε γὰρ οἱ μὲν λόγου κέκτηνται δύναμιν, οἱ
 δὲ ἐμπειρίαν νόμων, ἐν δὲ τοῖς έστιν ἀμφότερα, χρηστὰ δὲ
πολλὰ μὲν σοὶ περὶ τούτων, πλείω δὲ τούτοις εἴρηται περὶ
σοῦ, καὶ χάριν τὴν μὲν αἰτοῦσι νῦν, τὴν δὲ δώσουσιν ἴσως,
ἀφ’ ὧν ἦν ἁπάντων Ἑρμείᾳ τε καὶ Ἐγερσίῳ θαρρεῖν. 3, τὸ
δ’ ἐμὲ κελεῦσαι συλλαβεῖν οὐκ ἦν χρῃζόντων συμμαχίας, ἀλλὰ
τιμώντων οἷς μετέδοσαν τοῦ πράγματος.
"
F0152,W152,"
Πρισκιανῷ. (359/60?)
1. Θεόδοτος καὶ Χαρίσιος ἀδελφοί, τέχνη δὲ αὐτοῖν ἡ αὐτή, προσθήσω δέ, ὅτι καὶ γνώμη, τὰ περὶ τῶν συνθηκῶν
γράμματα τοῖς ἀνθρώποις γράφειν ἄνευ τοῦ κέρδος κατὰ τῆς
ἀληθείας τιμᾶν. 2. τὸν μὲν οὖν Θεόδοτον πάλαι μεθ’ ἡμῶν
καὶ γινώσκεις καὶ φιλεῖς, Χαρίσιον δὲ τὴν πόλιν οἰκοῦντα
πάντως πού τις ἐπῄνεσε πρὸς σὲ νῦν, ἀλλ’ ὁ μὲν οἴχεται, δεῖ
δὲ βοηθῶν τοῖς ἐκείνου παιδίοις. ὁ θεῖος δὲ δι’ ἡμῶν ἱκετεύει τὸν εἰδότα σώζειν. 3. δώσει δὲ ὁ γενναῖος Πρισκιανὸς
τὴν χάριν ἡμῖν τε πειθόμενος καὶ Θεόδοτον ἐν λόγῳ ποιούμενος. ἐκείνοις τε οὖν τὴν ὀρφανίαν κουφιεῖς καὶ φροντίδος
ἀξιώσεις τοὺς ἐν Κύρῳ τούτου συγγενεῖς.
"
F0153,W153,"
Ἀνδρονίκῳ. (358—361)
1. Πᾶσι μὲν τοῖς παρ’ ἀξίαν ἀτυχοῦσι βοηθεῖν οἶμαι δεῖν,
ὅ τι ἂν δύνωμαι καὶ νομίζω ποιεῖν ἀρέσκοντα τῷ Διί, τοὺς
δ’ ἐπὶ λόγοις μοι προσιόντας καὶ ὅστις τούτων οἰκεῖος διπλοῦν
ὁρῶ πρὸς ἐμὲ τὸ δίκαιον ἔχοντας. ἔχουσι γὰρ πρὸς τῷ κοινῷ
καὶ τὸ διὰ τοὺς λόγους. 2. Μάρων τοίνυν τῶν παρ’ ἡμῖν
ἐστιν ἐπὶ λόγοις ἐπαινουμένων, πόλεως μὲν Πανεάδος, παῖς
δὲ Λεοντίου πένητος, οὐκ ἄνωθεν πένητος, ἀλλ᾿ ἐξ ἐπιεικείας
καὶ τοῦ πάσχειν κακῶς ἐνταῦθα ἥκει. 3. μέχρι μὲν οὖν ἐνῆν
δαπανᾶν, τοῦτο ἐποίει· πάντων δὲ ἀνηλωμένων φεύγει κἂν
ἀπείπῃ φεύγων, κάτεισι, καὶ πάλιν αὐτῷ τῆς οἰκίας ἡ φυγὴ
 κουφότερον. 4. ἀλλ᾿, ὦ γενναῖε, στῆσον αὐτῷ τὴν πλάνην
δείξας τοῖς ἀδικοῦσιν, ὡς πρόσθεν ταῦτ᾿ ἐξῆν, νῦν δὲ ἡ πενία
μετὰ τοῦ δικαίου τῶν πλουτούντων ἰσχυροτέρα.
"
F0154,W154,"
Μοδέστῳ. (358—361)
 1. Τῶν ἐμῶν πώλων, οὓς ἄγων ἐκ Μουσικῶν λειμώνων
ἔδωκά σοι, τοὺς μὲν κεκλημένους ὑπὸ σοῦ, τοὺς δὲ ἀκλήτους
ὁρᾷς. ὧν τοὺς μὲν εὐδαιμονίζω τῆς παρὰ σοῦ τιμῆς, τοὺς
δὲ τοῦ περὶ δὲ πόθου. δηλοῦσι γὰρ οἷς αὐτόματοι τρέχουσιν,
ὡς εἰκότως ἂν ἦσαν ἐν τοῖς κεκλημένοις. 2. πάντων μὲν οὖν
 ἐπιμελήσῃ, τῶν μὲν εὐπόρων, ἵνα κτήσωνται δόξαν, τῶν δὲ
πενήτων, ἵνα καὶ τούτοις χρήματα· πλέον δέ σοί τι δεικτέον
περὶ τοὺς οὐ δοκοῦντας ἠξιῶσθαι τῆς τιμῆς, ὡς τοῖς μέν,
κἂν σιγήσωσιν, οὐ μικρὸν ἐκεῖνο, τοῖς δ᾿ ἓν εἰς παραμυθίαν
εἰπεῖν τε καὶ λαβεῖν.
"
F0155,W155,"
Βασσιανῷ. (359/60?)
1. Ἤιδειν, ὅτι καὶ ταῦτα ποιήσεις, ἃ νῦν ποιεῖς, καὶ ὡς
ἐπιστελεῖς οὐ κακῶς. ἥ τε γάρ σου χρηστότης διεφαίνετο πάλαι καὶ ἐπιστέλλειν ἐμάνθανες. ἥκοντος δὲ τοῦ καιροῦ καὶ ἔργῶν καὶ λόγων πῶς ἔμελλες ἢ σιγῇ χρήσασθαι πρὸς ἡμᾶς ἢ ῥᾳθυμίᾳ; 2. τούτοις τε οὗν ἔμμενε καὶ μὴ τῶν τοῦ καλοῦ Κλεοβούλου περὶ σὲ πόνων ἀμνημόνει, ὡς ἐγὼ μέν σε κινοῦντα
πτέρυγας ἤδη παραλαβὼν ὠφέλουν, ὁ δέ σοι Φοῖνιξ γεγένηται. 3. καὶ τοῦτο δὲ αὐτό σοι τὸ τὰ τοῦ Φοίνικος εἰδέναι
παρὰ τοῦ Κλεοβούλου. ὅν, ἢν μὲν δυνηθῇς, ἀντευποίει, πρὸ
δὲ τῆς δυνάμεως εὔχου δύναμιν εῖς τὸ ποιῆσαι λαβεῖν.
"
F0156,W156,"
Ἀνδρονίκῳ. (359/60)
1. Αὐξέντιος οὑτοσὶ φοιτητὴς μὲν οὐκ ἔστιν ἐμός, πολλῷ 15
δὲ πολλῶν φοιτητῶν εὐνούστερος συναλγήσας τε ἡμῖν ἐν τοῖς
χείροσι καὶ συνησθεὶς ἐπὶ τοῖς ἀμείνοσιν. 2. οἶσθα δέ, ὅτι
παρ’ ἡμῶν ἐξιόντι τὸν νεανίσκον ἐπιδείξας ἥξειν τε αὐτὸν
ἔφην εἰς Φοινίκην αὐτίκα καὶ τῶν σῶν φίλων ἠξίουν ἔνα νομισθῆναι, σὺ δὲ ἔνευσας. 3. ἥκει δὴ καὶ πλήρου τὰς ὑποσχέσεις παρόντα μὲν ἡδέως ὁρῶν, ἐκπέμπων δὲ μετὰ σῶν
γραμμάτων. εἰ μὲν γὰρ ἦν Φοῖνιξ, ἔργον ἂν σὲ ἀπῃτοῦμεν·
νῦν δέ, ἐκ γὰρ τῆς ὁμόρου χώρας ἁνήρ, αὐτὸς ἔργον ἀπαίτει
 τὸν χρηστὸν Ὑπάτιον ἐν ἐπιστολαῖς.
"
F0157,W157,"
Ὑπατίῳ. (358)
1. Εἰ τοῖς τε ἐπαινοῦσί με χαίρεις καὶ τοὺς ἐμὲ φιλοῦντας
οἴει δεῖν φιλεῖν, οὐκ ἂν φθάνοις ἕνα τῶν σαυτοῦ φίλων Αὐ ξέντιον τιθείς. κινδύνους τε γὰρ ἐμοὶ κίνδυνον λύων ὑπομείνειεν ἂν ἡδονή τε αὐτῷ καλόν τι περὶ ἐμοῦ πρὸς ἄλλον εἰπεῖν
ἥ τε πρᾳότης καὶ τὸ ἡσυχάζον τῆς γνώμης ἄξια τιμῆσαι.
2. ταῦτ’ οὖν ἐμοῦ ψηφιζομένου θαυμάσαιμ’ ἄν, εἰ τὴν ἐναντίαν οἴσεις· τὴν αὐτὴν δὲ φέρων οὐκ ἄδηλον ὅτι, κἄν του
 δέηται μετρίου, δώσεις τὴν χάριν.
"
F0158,W158,"
Τῷ αὐτῷ. (358)
1. Οἴει γὰρ Ἀνδρόνικον τὴν σὴν ἀγνοεῖν ἀρετὴν ἢ μὴ
κέρδος αὑτοῦ νομίζειν, εἰ τὰ σὰ φυλάξειεν. ἔχει δὲ οὐχ οὕ τὼς, ἀλλὰ τὸ μὲν σὸν καὶ δεῦρο διῖκται κλέος, ὁ δὲ ἄρχοντας
ἀγαθοὺς οἷδε θαυμάζειν. 2. ἀλλ’ ὅμως ἐπειδὴ κελεύεις, τῷ
μηδὲν δεομένῳ γραμμάτων γράφω τοῦ μή σοι δοκεῖν ἀπειθεῖν,
οὐχ ὅπως ἐκεῖνον κινοίην. 3. Ναυμάχιος δὲ ὁ καλός, τὸν
γὰρ σοὶ φίλον ἀνάγκη τοιοῦτον εἶναι, πάντα μὲν ἔπραξε, δι’
ἡμῶν δὲ οὐδέν, ἤρκεσε γάρ, ἐγὼ δὲ πρὸς τὰ ἔργα μὴ παρακληθείς, ὃ λοιπὸν ἦν, ἐποίησα· συνήσθην εἰργασμένῳ.
"
F0159,W159,"
Ἀνδρονίκῳ. (358—361)
1. Ὑπὲρ ἀμφοτέρων ὑμῶν, Ὑπατίου τε καὶ σοῦ, θαυμαστὴν
ἐδεξάμεθα φήμην, καὶ ἴστον τοῦτο ὃ δὴ καλεῖσθον, ἄρχοντες
ἀκριβῶς. 2. ἡμεῖς τε οὖν συγχαίρομεν τοῖς ὑφ’ ὑμῶν ὑμῶν σωζομένοις ὑμεῖς τε, ὡς εἰκός, ἀλλήλοις, ὁ μέν, ὅτι τοιοῦτος αὐτῷ τὴν πατρίδα θεραπεύει, σὺ δέ, ὅτι πόλεως ἄρχεις, ἣ τοιοῦτον ἤνεγκεν. 3. ἐθαύμασα δέ, ὅπως ἐμῆς ἐδεήθη πρὸς σὲ
παρακλήσεως εἰς κηδεμονίαν τῶν αὑτοῦ. εἰ μὲν γὰρ εὖ πάσχων, ὅπως ὅτι κἀμοὶ χαρίζῃ μάθοι, τοῦτο ἐποίησε, καλῶς
ἐποίησεν· εἰ δ’ οὔπω τῆς σῆς εὐνοίας πεῖραν λαβών, οὐκ
μαθεῖν, ὅθεν οὔπω πέπονθεν εὖ. δεῖ γάρ σε νομίζειν μισθὸν
ὀφείλειν τῷ προσομοίῳ σοι κατὰ τὴν ἀρχήν. εἰ γὰρ τὰ αὐτὰ
τιμᾷ, χαρίζεται δήπου σοι, τῷ χαριζομένῳ δὲ χάριν ὀφείλεις.
4. θὲς δὴ σαυτὸν ἐν Παλαιστίνῃ κτήματα ἔχειν καὶ γεωργεῖν,
τῷ δὲ οὐδὲν τῶν σῶν μέλειν οὐκ ἂν κατηγοροῖμεν καὶ δικαίως; τοῦτο δή, τοῦτο νῦν ἐφ’ ἡμᾶς, εἰ ῥᾳθυμοῖμεν, ἥξει.
φαινώμεθα τοίνυν διδόντες ὃ τότε ἂν ἀπῃτοῦμεν.
"
